Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,111.6150733,107.8502071,105.3317399,103.0983878,102.1422033,102.3036684,98.20350088,93.28065754,92.43093911,90.67928882,89.12037262,88.6924189,91.55085781,91.29866437,93.59683134,94.71649758,93.78889923,92.22101641,95.66553947,93.7685185,91.14680204,92.10783598,94.8998718,101.5191135,103.0199636,102.3779671,101.7325925,100.9419332,103.7608478,104.6768775,100,100.0575188,97.37320862,97.38297184,96.5936276,88.18679104,87.45074082,87.53076695,89.20260455,87.47811827,87.63018788,87.72175872,86.59558463,88.20970569,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.04915731,43.11048086,45.08928415,52.21462687,55.2204088,57.00235886,60.65555391,61.58283718,67.1699736,65.99950234,67.04657475,71.23380966,79.43154241,78.03443217,78.79466846,83.16678907,87.61810962,90.03549177,103.5032193,99.33465638,100,101.868482,98.41193364,96.43928663,90.85519094,88.60855086,90.96170338,94.86788571,99.24636391,99.59025964,100.2451694,104.8805806,115.2626923,125.8679704,
Germany,,,,,,,,,,,,,,,,,,,,121.2391726,114.6388595,104.8311426,106.7441022,107.4113824,102.6740729,99.92516383,105.8053729,109.2727197,107.050445,104.6698495,107.8129934,105.9422292,110.9111766,115.2441701,116.0233644,121.2490926,116.8437884,110.2154732,110.3923825,106.915913,99.7034375,99.72821066,100.7861531,106.1545332,107.6527404,105.2216007,104.2583444,105.7694637,105.8819655,106.4632745,100,98.8974556,95.23715669,97.60586144,98.26736299,92.49969124,94.08299836,94.90056574,97.04944387,95.47082784,96.35394625,97.13948922,93.72070616,97.13443328,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,109.6342917,112.0408897,121.0848348,125.1322147,133.1422069,144.0709,148.0834453,137.3691755,130.3072808,125.452766,130.8456959,125.6621735,127.5407026,128.6223986,131.6515776,127.3622398,120.0451699,119.1800493,119.7392114,120.3472795,119.6346368,120.3170021,121.939231,120.1930506,117.5488466,112.8113035,107.8613054,106.116882,102.6826535,100.0384652,101.2499745,100,95.19719844,95.53987644,94.42468201,94.0825709,97.32171968,97.91512294,96.0671658,94.13346913,96.09556045,95.14489815,92.95353449,97.12953488,95.95232188,
Denmark,,,,,,,,,,,,,,,,,,,,98.52540673,91.89331999,87.57162754,85.8909632,86.63368289,85.10671964,86.20597679,91.708048,95.89481127,95.92499467,94.33289952,98.51612456,94.66261069,95.57832837,95.63172105,95.55927936,99.66465354,98.68768871,95.52776625,97.14973849,96.74673966,92.76457141,93.72922079,95.57797445,100.5119067,101.4022874,100.1403611,99.73331257,100.4028398,101.7435026,104.4620605,100,99.23236633,96.6728134,97.70308404,98.45181824,94.42615295,95.82492236,96.32250378,97.34096116,95.55009569,96.68221562,95.9660971,94.27932504,95.01029449,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,143.7032583,146.094165,147.9006996,141.2747328,98.50659722,113.5485086,104.0232328,85.04772512,71.24044411,85.89335887,84.60983805,85.35725006,86.02758555,89.76828168,94.05446141,98.90200451,102.6026107,102.4971707,102.6376736,98.99033499,103.4823408,108.2442533,105.6469096,79.91816673,79.96423384,106.8584116,100.5192157,100.675809,99.76448595,99.57853319,100,96.42273471,96.33190942,93.58193843,91.69266699,94.25820181,93.69162636,90.79374558,87.7945809,87.01068683,82.09015254,83.34081869,91.2852006,90.34011241,
