Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401606425.7,0,368256306.4,-2561052179,-1916674988,-613102508.2,-601384615.4,-819067796.6,-739063516.2,-294769354.2,-405987840.2,-438561151.1,-546874790.6,-682552760,-1472693102,214874037.8,-1542227776,-2837778648,-4692473320,-5536384956,-7538702237,-644510245,2935203733,-2378218591,-606410344.2,60278827.25,-90974751.74,115921508.7,909890420.5,-425952405.2,1896641833,3936305356,4484178059,459341280.5
Belize,,,,,,,,,,,,,,,,,,,,,-24626082,-38664484,-36654968,-27981631,-17199270.5,-25396383,-8304599.5,-9305608.5,-21295466,-39271147,12500000,-43500000,12000000,9000000,16500000,25000000,33500000,19000000,9500000,-52000000,-123500000,-110000000,-72500000,-68500000,-25500000,-23000000,75000000,89000000,38500000,22000000,112000000,119500000,143500000,68500000,82500000,-20500000,-42000000,43000000,56500000,38000000,-130500000,-93000000,-56500000,124281450
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790984000,1818563000,1737596000,1742927000,1655177000,1773181000,1787781000,1763000000,1835618000,1924663000,1727048000,1833635000,1989537000,2305400000
Bolivia,-28833333.33,-28166666.67,-46416666.67,-44750000,-17083333.33,-31250000,-34583333.33,-26333333.33,-36166666.67,-26083333.33,2416666.667,-32666666.67,-37384615.38,-7650000,178500000,-151050000,-60400000,-92700000,-282500000,-145300000,99760000,18080000,-19015625,231599137.9,-133565688.8,-203956030.2,-173552959,-189645069,-200978072,-31043051.5,-55943531.12,-293146080.2,-509039391.4,-533647926.7,-331014451.4,-311257406.2,-347105552.1,-653750995.9,-1094799636,-862181732.6,-759861904.4,-430158998.5,-480760237.1,-61940887.31,422223676.9,329859601.9,1031305066,987865682.4,1158210419,488671453,1348616744,1366621267,2541509595,2132066223,436112739.6,-2044775813,-2520136579,-2586732504,-2067712970,-2642975629,-1816138075,-1361970724,-1114636977,-2434494740
Brazil,-8829343.279,-9149902.739,-263069676.4,-17161539,150139738.7,474987147.8,225450250.4,0,-206594912.1,24981601.39,-177912553.3,-848612874.4,-927784676,-975055646.9,-6172123572,-4907560236,-3659545985,-1172207021,-2387152106,-4615615400,-5295341312,-999146350.2,-1872613598,4906714630,11753827696,11487450960,6601570908,9608553171,17141241475,14323932823,5760628519,2614204545,8149820789,5182689343,1846111837,-14822816229,-18498238583,-23042055321,-20535451010,-11107588704,-14837154502,-12279677754,4296672537,12399391352,22844658798,30323248288,29982705221,19039021642,-3214805207,-6721885359,-22994190062,-20128178015,-33507264618,-56911843574,-65368099307,-20783887933,7176956033,14820192744,7548801626,-12071834246,8930824788,9397892444,8695119065,51442237675
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,780510384.9,778475941.5,1072913606,1360990407,1563747100,2268966843,4026698948,3468087161,3075197720,2663921819,,,,,,794253888.5,863984269.5,981158287.7,416828579.1,123159492.8,109332977.2,184143222.5,-36169161.04,-68022354.44,-280831404.4,341011600.9,1766630172,1509368875,1272681535,1989485376,2641795834,3746735418,4899812729,4421396115,6711545120,3469052322,5406768205,7312615818,6605725823,4550431445,5801830250,1878750734,1349307336,1694275076,1352406146,994355868.9,530802710.6,1850917776,4304628390,2497175417
Bhutan,,,,,,,,,,,,,,,,,,,,,-32622636.94,-47729849.54,-50661376.28,-55829853.91,-54490251.03,-62253663.47,-70054848.87,-36819041.01,-59745997.06,-27380974.39,-15231239.47,-21755368.04,-59987847.1,-29461066.39,-26798843.44,-14731515.89,-32209364.94,-37366213.57,-61510883.65,-82083959.31,-83041092.99,-102254009,-136719942.1,-157352581.7,-218816705.2,-214535269,-42730696.32,-27812353.1,-115365564.6,-221360208.6,-448351795,-532981981.9,-443396578.7,-392312028.7,-408531489.1,-581236554.1,-521929982.8,-515565850.6,-551807794,-361343041.6,-385821270.2,-531193931.3,-1002019830,
Botswana,-4065490.852,-5037120.782,-6028614.891,-6990201.136,-8225759.454,-8655180.405,-11157865.67,-15340631.76,-26429641.37,-23048309.54,-34896023.81,-36213372.56,-38106797.37,-56474873,-72997320,-71736884.52,-59282514.82,-83139341.54,-97203791.07,-91226210.33,-141979478.3,-234362488.6,-149320990.1,-5652158.851,35351936.62,167878450.5,267408990.5,524467506.6,703247533.1,403620850,199519905.2,256312337.5,273993056,332119311.2,317919129,334823481.8,809639139.9,660519458.5,-156298806.4,628795766.8,679485671.7,537440936.8,678720160.2,887844461.5,737177438.3,1720112573,1681219954,1528386721,-548818885.6,-1701263595,-1308000648,-1584905838,-2175855219,-431508369.9,474683266.6,-909144049.1,1320940344,630699420,170521065,-1491507110,-2256407668,-925067478.4,299841787.5,-835391274.4
Central African Republic,-12235152.69,-11416451.26,-16325595,-17141715.17,-17549074.47,-15914413.35,-22386987.1,-33739668.1,-10199971.41,-19299957.39,-18199332.52,-15359071.1,-20448281.25,-21338966.91,-43896198.14,-71148791.32,-32211133.24,-46268170.31,-63899756.47,-88999730.56,-126405767.9,-67231240.62,-90147356.39,-82119276.83,-77225305.68,-83263039.87,-117121884.2,-128580029.5,-92453129.63,-76001157.57,-126898525,-117572448.4,-134099355.8,-74035206.47,-13782304.18,-67302626.33,-41759160.44,-19223211.87,-55484196.14,-47625536.56,-45062856.28,-50512174.4,-41667073.48,2750486.428,-66775005.52,-111653041.7,-113496744.3,-158936506.6,-247784436,-244177346.3,-239517733.1,-200401645.3,-249988082.6,-142992617.5,-374102800.7,-322373526.5,-381189435.7,-468848420.3,-394893201.6,-412163354.2,-446173395.9,-445525912,-491595453.7,-373074188.6
