COUNTRY,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnia and Herzegovina,101.9616628128543,101.0468688365397,100,98.4159,99.2132,100.6191583333334,101.185425,100.1216666666666,102.1057166666666,116.4218,123.5304
Botswana,83.61499068901306,87.29593420235878,89.96896337678459,92.50155183116075,95.56176288019861,98.65606766,101.3916666666666,103.3083333333334,110.7888666666667,123.7130166666667,129.9823166666666
Brazil,3717.849166666665,3953.153333333332,4310.119166666668,4686.786666666668,4848.310833333332,5025.994166666668,5213.613333333335,5381.0625,5827.78,6368.604166666668,6661.15
British Virgin Islands,,,104.9407917,106.049259,,,,,,,
Brunei Darussalam,100.5939384835521,100.3855996533718,99.89536916666668,99.6169675,98.36129000000003,99.36954416666669,98.98148416666665,100.9020416666667,102.6510916666667,106.4309618037181,106.8109887847447
Bulgaria,6651.599605224578,6557.267697006255,6550.406613981828,6498.091798997008,6632.056212,6818.718401394942,7030.352972393032,7147.931475737542,7383.651982334635,8515.215766854391,9319.294086661663
Burkina Faso,101.1829553,100.9218126945204,101.6533333333333,102.1016666666667,103.6158333333334,105.6425,102.2266666666666,104.1530668004353,107.9583333333333,123.3858333333333,124.3024795566666
Burundi,85.09217967565326,88.84079001,93.76673543904025,98.97799956,114.8664778768896,111.6333333333334,110.8666666666666,118.9833333333333,128.9833333333333,153.2333333333334,194.5166666666667
Cabo Verde,99.49653762868542,99.25896164180575,99.38917748743614,97.98996037584821,98.75860856958455,99.99999999999999,101.1066667429606,101.7191666920978,103.6133331807454,111.8308333333334,115.9958331298828
Cambodia,152.4111666666666,158.2876666666667,160.225,165.0624166666667,169.8700833333333,174.0473333333334,177.4283333333334,182.64525,187.9798333333334,198.0249166666667,202.2378333333333
Cameroon,81.70802952,83.22363054,85.45089072922762,86.19789419841717,86.74991339986941,87.67714688737648,89.82769382307097,92.01734161214178,94.10784460391298,99.98739889200363,107.3692824184679
Canada,122.8166666666667,125.1583333333333,126.5666666666666,128.375,130.425,133.3833333333334,135.9833333333334,136.9583333333333,141.6083333333333,151.2416666666666,157.1083333333334
Cayman Islands,103.59275,104.9125,102.44965,101.809075,,,,,,,
Central African Republic,74.62315077251088,85.74101833108965,86.94393924290215,91.2436933,95.05833966,96.59082921,99.18465379581993,100.8808666941667,105.1777502,111.05,114.3583333333333
Chad,84.49651286892365,85.91772151898748,89.67844900523198,88.96780063,87.60027689873415,91.34485759493673,90.45704113924052,94.49517405,93.76487342,99.19200949367088,109.9408095991561
Chile,63.26804788283458,66.25346162,69.13467462,71.75224721793785,73.31839676966045,75.10361894404882,77.02442761,79.37019950639694,82.96135845846308,92.62126845904788,99.64351897
"China, People's Republic of",86.71270833333332,88.37901583333336,89.64904333333335,91.44202583333335,92.89882166666668,94.8262775,97.57551333333335,99.93627666666669,100.9166666666667,102.9083333333333,103.15
Colombia,79.19662166666669,81.49240333333331,85.55873666666665,91.98715833333333,95.9557725,99.06528583333335,102.555375,105.146575,108.8215083333333,119.896525,133.9674666666667
"Congo, Democratic Republic of the",123.2250317,124.7567668,125.6852054,129.3122932,,,,,,,
"Congo, Republic of",89.83368198601379,90.65309052454215,93.52597577383885,96.50997982737277,96.94433633243595,98.06189025,100.2252071889789,102.0246219654312,103.775,106.9333333333334,111.5333333333334
Costa Rica,88.242,92.22983333333335,92.9695,92.95325,94.46458333333335,96.56275,98.58675,99.30141666666665,101.0158333333334,109.3746661573761,109.9490948041898
Côte d'Ivoire,101.4305652556488,101.8856660223135,103.1607646718708,103.9068010985837,104.6194781728826,104.9954900260193,103.8333333333334,106.3512984866666,110.7031425,116.5440254016667,121.6569482341666
"Croatia, Republic of",100.6833333333333,100.4666666666666,100,98.875,99.99166666666667,101.4916666666667,102.275,102.4333333333334,105.05,116.375,125.6166666666667
"Curaçao, Kingdom of the Netherlands",122.325,124.1583333,123.5666667,123.5083333,125.4666667,128.7083333,132.0833333,,,,
Cyprus,103.5449359,102.1419135685978,100,98.57083333333335,99.095,100.5175,100.7691666666667,100.1258333333333,102.575,111.1866666666666,115.1241666666667
Czech Republic,99.325,99.66666666666664,99.975,100.6583333333333,103.125,105.3416666666667,108.3416666666667,111.7666666666667,116.0583333333333,133.5833333333334,147.825
Denmark,98.99166666666667,99.55,99.99999999999999,100.25,101.4,102.225,103,103.4333333333334,105.35,113.4583333333334,117.2083333333334
Djibouti,85.93253186062782,87.08563038064298,86.34767568903261,88.71223087727932,89.21621581022931,89.34822980299192,92.31392425077046,93.95471917602605,95.06518668212271,99.98938128309803,101.4842906911929
Dominica,102.2975,103.1151132,102.245,102.39,102.6933333333333,103.7091666666667,105.2695992,104.5041666666667,106.0541666666666,114.3058333333333,119.1383333333333
Dominican Republic,84.47181062638575,87.00481803867348,87.73282767508643,89.14898121382062,92.07267282020695,95.35454271,97.08103566009592,100.7517004893533,109.0566666666666,118.66575,124.3446333333334
Ecuador,95.84221872,99.28220695959271,103.2203808815514,105.0043022186284,105.4425225,105.2062224257326,105.4860841444342,105.1286209272738,105.2687062718434,108.9174982955168,111.3307698456298
"Egypt, Arab Republic of",45.99372853723832,50.62539610304932,55.87549791728328,63.59391917015175,82.35832786208778,94.21913427,102.8428228046656,108.0311741971116,113.6639729926915,129.4583333333333,173.325
El Salvador,108.9358333333333,110.1791666666667,109.3733333333334,110.0340019547512,111.1479356113828,112.3598149,112.444449,112.0266163962212,115.9104961224495,124.2544478229342,129.2812198374132
"Equatorial Guinea, Republic of",124.5166666666667,129.8833333333333,132.0609973731125,133.9256183032298,134.9225,136.3527784865066,138.4393513624258,145.0383333333333,144.8975,151.8333333333334,
"Estonia, Republic of",196.2166666666667,196.0083333333334,195.0433333333333,195.3333333333333,202.0083333333333,208.95,213.7083333333333,212.7583333333334,222.6583333333333,265.8501833333332,290.2
"Eswatini, Kingdom of",70.55705214,74.56564442,78.25757211,84.39865868,89.64941598,93.96609065,96.40734491,,,,
"Ethiopia, The Federal Democratic Republic of",78.94395692,84.38321095742926,92.45775566,98.58597901731832,109.1219759967969,124.2168578478749,143.8550861691586,173.1387264796152,219.6083333333334,294.0333333333332,382.8867600477095
"Fiji, Republic of",99.49166666666667,100.0083333333334,101.3833333333333,105.3,108.825,113.2666666666666,115.275,112.2833333333333,112.4583333333333,117.5416666666666,120.0666666666666
Finland,99.17078916666668,100.2033516666667,99.99500000000002,100.3516666666667,101.1083333333333,102.2041666666667,103.2508333333333,103.5508333333333,105.8233333333334,113.3616666666666,120.4475
